player_id,name,season,prediction,base_value,shap_sum,reconstructed_prediction,abs_reconstruction_error
435,Kevon Looney,2024-25,0.10304193814944895,-0.029142058667670265,0.13218399681711368,0.10304193814944342,5.537237335317968e-15
246,Cole Anthony,2025-26,-4.521625462140972,-0.029142058667670265,-4.49248340347341,-4.52162546214108,1.0835776720341528e-13
494,Josh Okogie,2020-21,-0.12639354690043925,-0.029142058667670265,-0.0972514882327373,-0.12639354690040755,3.169686735304822e-14
126,Mamadi Diakite,2020-21,-4.652169180314769,-0.029142058667670265,-4.623027121647055,-4.652169180314725,4.440892098500626e-14
451,Tyrese Maxey,2023-24,6.925084963847438,-0.029142058667670265,6.954227022515154,6.925084963847484,4.529709940470639e-14
472,Evan Mobley,2025-26,3.7818237362487706,-0.029142058667670265,3.810965794916493,3.781823736248823,5.240252676230739e-14
533,Orlando Robinson,2024-25,-1.656469227202649,-0.029142058667670265,-1.6273271685349515,-1.6564692272026218,2.731148640577885e-14
504,Jalen Pickett,2024-25,-3.286722658081301,-0.029142058667670265,-3.2575805994136187,-3.2867226580812887,1.2434497875801753e-14
156,Malcolm Hill,2021-22,-4.550434047736837,-0.029142058667670265,-4.5212919890691,-4.55043404773677,6.661338147750939e-14
507,Brandin Podziemski,2024-25,2.8118179686663383,-0.029142058667670265,2.840960027334067,2.811817968666397,5.861977570020827e-14
418,Luke Kornet,2023-24,2.509876757864291,-0.029142058667670265,2.5390188165320104,2.5098767578643404,4.929390229335695e-14
4,Bam Adebayo,2022-23,8.535151603567813,-0.029142058667670265,8.564293662235611,8.535151603567941,1.2789769243681803e-13
291,Jae Crowder,2022-23,-3.2211734587423497,-0.029142058667670265,-3.192031400074681,-3.221173458742351,1.3322676295501878e-15
555,Marcus Smart,2023-24,-1.7679675952751592,-0.029142058667670265,-1.7388255366074654,-1.7679675952751357,2.353672812205332e-14
193,Filip Petrusev,2023-24,-6.975387057657599,-0.029142058667670265,-6.946244998989906,-6.975387057657576,2.3092638912203256e-14
449,Garrison Mathews,2019-20,-3.7106234459968106,-0.029142058667670265,-3.68148138732917,-3.71062344599684,2.930988785010413e-14
48,Bismack Biyombo,2022-23,-1.298539301598145,-0.029142058667670265,-1.2693972429303169,-1.2985393015979871,1.5787371410169726e-13
598,Jabari Walker,2023-24,0.7799179491559274,-0.029142058667670265,0.809060007823549,0.7799179491558788,4.8627768478581856e-14
197,Jason Preston,2023-24,-9.635311954884239,-0.029142058667670265,-9.606169896216448,-9.635311954884118,1.2079226507921703e-13
218,Dennis Smith Jr.,2019-20,-5.482855284427099,-0.029142058667670265,-5.453713225759557,-5.482855284427227,1.2878587085651816e-13
175,Boban Marjanovic,2020-21,-3.2556282029549037,-0.029142058667670265,-3.2264861442871875,-3.2556282029548576,4.618527782440651e-14
621,Kenrich Williams,2021-22,-1.3383150283881455,-0.029142058667670265,-1.3091729697204508,-1.338315028388121,2.4424906541753444e-14
551,Pascal Siakam,2025-26,3.1874972634780465,-0.029142058667670265,3.216639322145741,3.187497263478071,2.4424906541753444e-14
525,Duop Reath,2025-26,-3.7561666276789136,-0.029142058667670265,-3.727024569011334,-3.756166627679004,9.059419880941277e-14
240,Precious Achiuwa,2020-21,-2.032608468135443,-0.029142058667670265,-2.003466409467726,-2.032608468135396,4.707345624410664e-14
547,Landry Shamet,2019-20,-0.6609849782893026,-0.029142058667670265,-0.6318429196216389,-0.6609849782893091,6.5503158452884236e-15
242,Santi Aldama,2023-24,2.1381644063495275,-0.029142058667670265,2.167306465017184,2.1381644063495138,1.3766765505351941e-14
447,Jaylen Martin,2024-25,-4.128711096448622,-0.029142058667670265,-4.0995690377809275,-4.128711096448598,2.4868995751603507e-14
432,Damian Lillard,2020-21,7.15827120274808,-0.029142058667670265,7.187413261415787,7.158271202748117,3.730349362740526e-14
611,Coby White,2023-24,5.900014715482358,-0.029142058667670265,5.9291567741499644,5.900014715482294,6.394884621840902e-14
634,Dario Šarić,2023-24,-0.019114178414232172,-0.029142058667670265,0.01002788025343579,-0.019114178414234476,2.3037127760972e-15
234,James Wiseman,2025-26,-5.449581882552286,-0.029142058667670265,-5.42043982388467,-5.44958188255234,5.417888360170764e-14
68,Troy Brown Jr.,2021-22,-1.3238770307853474,-0.029142058667670265,-1.2947349721176982,-1.3238770307853684,2.1094237467877974e-14
294,Stephen Curry,2021-22,7.876316894437085,-0.029142058667670265,7.905458953104635,7.876316894436965,1.2079226507921703e-13
634,Dario Šarić,2020-21,-0.6286119775179118,-0.029142058667670265,-0.599469918850216,-0.6286119775178863,2.5424107263916085e-14
346,Josh Green,2021-22,-1.398586459144851,-0.029142058667670265,-1.36944440047713,-1.3985864591448003,5.062616992290714e-14
290,Torrey Craig,2021-22,1.3650591750261334,-0.029142058667670265,1.3942012336938017,1.3650591750261314,1.9984014443252818e-15
457,Bryce McGowens,2025-26,-2.812381360976003,-0.029142058667670265,-2.783239302308333,-2.812381360976003,0.0
480,Dejounte Murray,2019-20,3.890183567276007,-0.029142058667670265,3.919325625943711,3.8901835672760408,3.375077994860476e-14
585,Myles Turner,2025-26,3.188584014006097,-0.029142058667670265,3.217726072673877,3.188584014006207,1.1013412404281553e-13
